model,MAE,RMSE
18-2-8-4-16_4-1-2-2-16-1-0.9,0.3496167,0.5298144
18-2-9-4-16_4-1-2-2-16-1-0.9,0.4232989,0.57897854
model,MAE,RMSE
18-3-10-4-16_4-1-3-2-16-1-0.95,0.31876805,0.5046439
18-4-10-4-16_4-1-3-2-16-1-0.9,0.2981081,0.4771778
18-2-8-4-16_4-1-3-2-16-1-0.95,0.37939492,0.5393294
18-3-8-4-16_4-1-3-2-16-1-0.9,0.3332935,0.50156635
18-5-9-4-16_4-1-3-2-16-1-0.95,0.37195224,0.574692
18-3-10-4-16_4-1-2-2-16-1-0.9,0.29930636,0.48024568
18-5-9-4-16_4-1-2-2-16-1-0.9,0.29588443,0.4751486
18-4-9-4-16_4-1-2-2-16-1-0.95,0.29483825,0.4795925
18-2-9-4-16_4-1-3-2-16-1-0.95,0.316784,0.48686904
18-2-8-4-16_4-1-2-2-16-1-0.9,0.30957368,0.4906319
18-2-10-4-16_4-1-2-2-16-1-0.95,0.29615563,0.4856615
18-3-9-4-16_4-1-3-2-16-1-0.9,0.39517602,0.5358383
18-4-8-4-16_4-1-3-2-16-1-0.95,0.30433407,0.501304
18-5-10-4-16_4-1-2-2-16-1-0.9,0.29256096,0.48091155
18-3-10-4-16_4-1-3-2-16-1-0.9,0.35647026,0.5046199
18-5-8-4-16_4-1-3-2-16-1-0.9,0.30256897,0.46838632
18-4-8-4-16_4-1-2-2-16-1-0.9,0.29471862,0.4725133
18-4-9-4-16_4-1-3-2-16-1-0.95,0.3009805,0.47222647
18-5-10-4-16_4-1-3-2-16-1-0.95,0.33646923,0.48719496
18-2-8-4-16_4-1-3-2-16-1-0.9,0.39115322,0.53896534
18-2-10-4-16_4-1-3-2-16-1-0.95,0.3305632,0.50185776
18-3-8-4-16_4-1-2-2-16-1-0.95,0.30091068,0.48903567
18-2-9-4-16_4-1-2-2-16-1-0.9,0.29598397,0.48480335
18-2-9-4-16_4-1-3-2-16-1-0.9,0.32616594,0.49261427
18-5-9-4-16_4-1-3-2-16-1-0.9,0.30647072,0.4793151
18-3-9-4-16_4-3-2-2-16-1-0.9,0.3589084,0.52815294
18-4-10-4-16_4-1-2-2-16-1-0.95,0.30732447,0.5167874
18-3-8-4-16_4-1-3-2-16-1-0.95,0.35083646,0.5187411
18-4-8-4-16_4-1-3-2-16-1-0.9,0.3194198,0.49164528
18-4-10-4-16_4-1-3-2-16-1-0.95,0.32578155,0.4921276
18-3-10-4-16_4-3-2-2-16-1-0.9,0.3959642,0.52903384
18-2-10-4-16_4-1-3-2-16-1-0.9,0.42566952,0.5606743
18-3-9-4-16_4-1-2-2-16-1-0.95,0.2985151,0.4970065
18-3-9-4-16_4-1-3-2-16-1-0.95,0.3984983,0.53897953
18-5-10-4-16_4-1-3-2-16-1-0.9,0.35948473,0.5198829
18-2-10-4-16_4-3-3-2-16-1-0.9,0.9648159,1.0479969
18-4-8-4-16_4-3-2-2-16-1-0.9,0.4274164,0.56019723
18-2-10-4-16_4-1-2-2-16-1-0.9,0.30308694,0.476775
18-5-8-4-16_4-3-2-2-16-1-0.9,0.36754858,0.52142006
18-4-9-4-16_4-1-2-2-16-1-0.9,0.30020192,0.4789752
18-5-8-4-16_4-1-2-2-16-1-0.95,0.29910308,0.50492966
18-5-8-4-16_4-1-3-2-16-1-0.95,0.31850916,0.49068275
18-4-9-4-16_4-1-3-2-16-1-0.9,0.33347327,0.49091968
18-4-9-4-16_4-3-3-2-16-1-0.9,0.9753562,1.0494062
18-4-9-4-16_4-3-2-2-16-1-0.9,0.38871935,0.54687107
18-5-9-4-16_4-3-2-2-16-1-0.9,0.36164182,0.5306407
18-3-10-4-16_4-1-2-2-16-1-0.95,0.2995374,0.4821042
18-3-8-4-16_4-3-3-2-16-1-0.9,1.222439,1.3154914
18-3-8-4-16_4-1-2-2-16-1-0.9,0.30333108,0.48133093
18-4-10-4-16_4-3-2-2-16-1-0.9,0.4111845,0.55585873
18-5-10-4-16_4-3-2-2-16-1-0.9,0.3580382,0.5232439
18-4-8-4-16_4-3-2-2-16-1-0.95,0.40726262,0.5509127
18-4-10-4-16_4-3-3-2-16-1-0.9,0.7124952,0.8052785
18-3-9-4-16_4-3-3-2-16-1-0.9,0.8128514,0.8487298
18-5-9-4-16_4-1-2-2-16-1-0.95,0.29712385,0.49520093
18-2-9-4-16_4-3-2-2-16-1-0.95,0.36665112,0.52520216
model,MAE,RMSE
